,Rank,Title,Artist(s),Year,Lyrics,Source
10,11,cheap thrills,sia featuring sean paul,2016,"[""Come on, come on, turn the radio on\nIt's Friday night, and it won't be long\nGotta do my hair, put my make-up on\nIt's Friday night, and it won't be long"", ""Till I hit the dance floor, hit the dance floor\nI got all I need\nNo, I ain't got cash, I ain't got cash\nBut I got you, baby"", ""Baby, I don't need dollar bills to have fun tonight\nI love cheap thrills!\nBaby, I don't need dollar bills to have fun tonight\nI love cheap thrills!"", ""But I don't need no money\nAs long as I can feel the beat\nI don't need no money\nAs long as I keep dancing"", ""Come on, come on, turn the radio on\nIt's Saturday, and it won't be long\nGotta paint my nails, put my high heels on\nIt's Saturday, and it won't be long"", ""Till I hit the dance floor, hit the dance floor\nI got all I need\nNo, I ain't got cash, I ain't got cash\nBut I got you, baby"", ""Baby, I don't need dollar bills to have fun tonight\nI love cheap thrills!\nBaby, I don't need dollar bills to have fun tonight\nI love cheap thrills!"", ""But I don't need no money\nAs long as I can feel the beat\nI don't need no money\nAs long as I keep dancing"", '(I love cheap thrills!)\nI love cheap thrills!', ""I don't need no money\nAs long as I can feel the beat\nI don't need no money\nAs long as I keep dancing\n(Oh, oh, oooh)"", ""Baby, I don't need dollar bills to have fun tonight\nI love cheap thrills!\nBaby, I don't need dollar bills to have fun tonight\nI love cheap thrills!"", ""But I don't need no money\nAs long as I can feel the beat\nI don't need no money\nAs long as I keep dancing"", 'La la la la la la la\n(I love cheap thrills!)\nLa la la la la la la\n(I love cheap thrills!)\nLa la la la la la la\n(I love cheap thrills!)\nLa la la la la la\nI love cheap thrills!']",1
11,12,7 years,lukas graham,2016,"[""Once I was seven years old, my mama told me\nGo make yourself some friends or you'll be lonely.\nOnce I was seven years old."", 'It was a big big world, but we thought we were bigger.\nPushing each other to the limits, we were learning quicker.\nBy eleven smoking herb and drinking burning liquor\nNever rich so we were out to make that steady figure', ""Once I was eleven years old, my daddy told me\nGo get yourself a wife or you'll be lonely.\nOnce I was eleven years old."", 'I always had that dream like my daddy before me\nSo I started writing songs, I started writing stories\nSomething about the glory, just always seemed to bore me\nCause only those I really love will ever really know me', 'Once I was twenty years old, my story got told\nBefore the morning sun, when life was lonely.\nOnce I was twenty years old.', ""I only see my goals, I don't believe in failure.\nCause I know the smallest voices, they can make it major.\nI got my boys with me atleast those in favor\nAnd if we don't meet before I leave, I hope I'll see you later."", 'Once I was 20 years old, my story got told\nI was writing about everything, I saw before me\nOnce I was 20 years old.', ""Soon we'll be 30 years old, our songs have been sold\nWe've traveled around the world and we're still roaming.\nSoon we'll be 30 years old."", ""I'm still learning about life\nMy woman brought children for me\nSo I can sing them all my songs\nAnd I can tell them stories\nmost of my boys are with me\nSome are still out seeking glory\nAnd some I had to leave behind\nMy brother I'm still sorry"", ""Soon I'll be 60 years old, my daddy got 61\nRemember life and then your life becomes a better one\nI made the man so happy when I wrote a letter once"", ""I hope my children come and visit, once or twice a month\nSoon I'll be 60 years old, will I think the world is cold\nOr will I have a lot of children who can bore me\nSoon I'll be 60 years old\nSoon I'll be 60 years old, will I think the world is cold\nOr will I have a lot of children who can bore me\nSoon I'll be 60 years old\nOnce I was seven years old, my mama told me\nGo make yourself some friends or you'll be lonely\nOnce I was seven years old\nOnce I was seven years old""]",1
12,13,needed me,rihanna,2016,"['Mustard on the beat ho!', ""I was good on my own, that's the way it was, that's the way it was\nYou was good on the low for a faded fuck, on some faded love\nShit, what the fuck you complaining for?\nFeeling jaded huh?\nUsed to trip off that shit I was kickin' to you\nHad some fun on the run though I give it to you"", ""But baby, don't get it twisted\nYou was just another nigga on the hit list\nTryna fix your inner issues with a bad bitch\nDidn't they tell you that I was a savage\nFuck your white horse and a carriage\nBet you never could imagine\nNever told you you could have it"", 'You needed me\nOooh, you needed me\nTo feel a little more, and give a little less\nKnow you hate to confess\nBut baby ooo, you needed me', ""You been rollin' around, shit I'm rollin up\nLight and roll it up\nBreak it down like a pound, shit was never us\nShit was never us\nThat's the real on the real, are you serious?\nHow you feel, how you feel?\nUsed to trip off that shit I was kickin' to ya\nHad some fun on the run though, I give it to ya"", ""But baby, don't get it twisted\nYou was just another nigga on the hit list\nTryna fix your inner issues with a bad bitch\nDidn't they tell you that I was a savage\nFuck your white horse and a carriage\nBet you never could imagine\nNever told you you could have it"", 'You needed me\nOooh, you needed me\nTo feel a little more, and give a little less\nKnow you hate to confess\nBut baby ooo, you needed me']",1
13,14,my house,flo rida,2016,"[""Open up the champagne, pop!\nIt's my house, come on, turn it up"", 'Hear a knock on the door and the night begins\nCause we done this before so you come on in\nMake yourself at my home, tell me where you been\nPour yourself something cold, baby, cheers to this', 'Sometimes you gotta stay in\nAnd you know where I live\nYeah, you know what we is\nSometimes you gotta stay in, in', ""Welcome to my house\nBaby take control now\nWe can't even slow down\nWe don't like to go out\nWelcome to my house\nPlay that music too loud\nShow me what you do now\nWe don't like to go out\nWelcome to my house"", ""Welcome to my house\nMorning comes and you know that you wanna stay\nClose the blinds, let's pretend that the time has changed"", ""Keep our clothes on the floor, open up champagne\nLet's continue tonight, come on, celebrate\nSometimes you gotta stay in"", ""And you know where I live\nYeah, you know what we is\nSometimes you gotta stay in, in\nWelcome to my house\nBaby take control now\nWe can't even slow down\nWe don't like to go out\nWelcome to my house\nPlay that music too loud\nShow me what you do now"", ""We don't like to go out\nWelcome to my house\nWelcome to my house\nWelcome to my the crib, the spot, the pad\nBut my house is your house if you throwin' it back\nExcuse me if my home"", ""Soon as these happy faces you can run with the cash\nHomerun, slam dunk, touchdown, pass\nMi casa es tu casa so it ain't no holding back\nAnother shot of vodka, you know what's in my glass\nIt's my house, just relax\nWelcome to my house\nBaby take control now\nWe can't even slow down\nWe don't like to go out\nWelcome to my house\nPlay that music too loud\nShow me what you do now\nWe don't like to go out\nWelcome to my house\nWelcome to my house\nWelcome to my house\nIt's my house""]",1
14,15,i took a pill in ibiza,mike posner,2016,"['I took a pill in Ibiza\nTo show Avicii I was cool\nAnd when I finally got sober, felt 10 years older\nBut fuck it, it was something to do', ""I'm living out in LA\nI drive a sports car just to prove\nI'm a real big baller 'cause I made a million dollars\nAnd I spend it on girls and shoes"", ""But you don't wanna be high like me\nNever really knowing why like me\nYou don't ever wanna step off that roller coaster and be all alone"", ""You don't wanna ride the bus like this\nNever knowing who to trust like this\nYou don't wanna be stuck up on that stage singing\nStuck up on that stage singing"", 'All I know are sad songs, sad songs\nDarling, all I know are sad songs, sad songs', ""I'm just a singer who already blew his shot\nI get along with old timers\n'Cause my name's a reminder of a pop song people forgot\nAnd I can't keep a girl, no"", ""'Cause as soon as the sun comes up\nI cut 'em all loose and work's my excuse\nBut the truth is I can't open up"", ""But you don't wanna be high like me\nNever really knowing why like me\nYou don't ever wanna step off that roller coaster and be all alone"", ""You don't wanna ride the bus like this\nNever knowing who to trust like this\nYou don't wanna be stuck up on that stage singing\nStuck up on that stage singing"", 'All I know are sad songs, sad songs\nDarling, all I know are sad songs, sad songs', ""I took a plane to my hometown\nI brought my pride and my guitar\nAll my friends are all gone, but there's manicured lawns\nAnd the people still think I'm a star"", 'I walked around downtown\nI met some fans on Lafayette\nThey said: ""tell us how to make it \'cause we\'re getting real impatient""\nSo I looked \'em in the eye and said', ""But you don't wanna be high like me\nNever really knowing why like me\nYou don't ever wanna step off that roller coaster and be all alone"", ""You don't wanna ride the bus like this\nNever knowing who to trust like this\nYou don't wanna be stuck up on that stage singing\nStuck up on that stage singing"", 'All that I know are sad songs, sad songs\nDarling, all that I know are sad songs, sad songs']",1
15,16,work from home,fifth harmony featuring ty dolla $ign,2016,"[""I ain't worried 'bout nothin'\nI ain't wearin' na-nada\nI'm sittin' pretty, impatient, but I know you gotta\nPut in them hours, I'mma make it hotter\nI'm sending pic after picture, I'mma get you fired"", ""I know you're always on the night shift\nBut I can't stand these nights alone\nAnd I don't need no explanation\nCause baby, you're the boss at home"", ""You don't gotta go to work, work, work, work\nWork, work, work\nBut you gotta put in work, work, work, work\nWork, work, work\nYou don't gotta go to work, work, work, work\nWork, work, work\nLet my body do the work, work, work, work\nWork, work, work\nWe can work from home, oh, oh, oh-oh\nWe can work from home, oh, oh, oh-oh"", ""Let's put it into motion\nI'mma give you a promotion\nI'll make it feel like a vacay, turn the bed into an ocean\nWe don't need nobody, I just need your body\nNothin' but sheets in between us, ain't no getting off early"", ""I know you're always on the night shift\nBut I can't stand these nights alone\nAnd I don't need no explanation\nCause baby, you're the boss at home"", ""You don't gotta go to work, work, work, work\nWork, work, work\nBut you gotta put in work, work, work, work\nWork, work, work\nYou don't gotta go to work, work, work, work\nWork, work, work\nLet my body do the work, work, work, work\nWork, work, work\nWe can work from home, oh, oh, oh-oh\nWe can work from home, oh, oh, oh-oh"", ""Oh yeah, girl you gotta work for me\nCan you make it clap, no hands for me?\nTake it to the ground, pick it up for me\nLook back at it all over me\nPut in work like my timesheet\nShe ride it like a '63\nI'mma buy her new Céline\nLet her ride in a foreign with me\nOh, she the bae, I'm her boo\nAnd she down to break the rules\nLa-di-da she gon' go\nI'm on drugs, she finessin'\nI pipe up, she take that\nPutting overtime on your body"", ""You don't gotta go to work, work, work, work\nWork, work, work\nBut you gotta put in work, work, work, work\nWork, work, work\nYou don't gotta go to work, work, work, work\nWork, work, work\nLet my body do the work, work, work, work\nWork, work, work\nWe can work from home, oh, oh, oh-oh\nWe can work from home, oh, oh, oh-oh"", 'Yeah, we can work from home\nYeah, we can work from home\nYeah']",1
16,17,this is what you came for,calvin harris featuring rihanna,2016,"[""Baby, this is what you came for\nLightning strikes every time she moves\nAnd everybody's watching her\nBut she's looking at you, ooh, ooh"", 'You, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh, ooh', ""Baby, this is what you came for\nLightning strikes every time she moves\nAnd everybody's watching her\nBut she's looking at you, ooh, ooh"", 'You, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh, ooh', 'You, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh, ooh', 'We go fast with the game we play\nWho knows why it\'s gotta be this way?\nWe say nothing more than we need\nI say ""your place"" when we leave', ""Baby, this is what you came for\nLightning strikes every time she moves\nAnd everybody's watching her\nBut she's looking at you, ooh, ooh"", 'You, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh, ooh', 'You, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh, ooh', 'Baby, this is what you came for\nLightning strikes every time she moves', ""Baby, this is what you came for\nLightning strikes every time she moves\nAnd everybody's watching her\nBut she's looking at you, ooh, ooh"", 'You, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh, ooh', 'You, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh\nYou, ooh, ooh, ooh']",1
17,18,cake by the ocean,dnce,2016,"[""Oh, no\nSee you walking round like it's a funeral\nNot so serious, girl; why those feet cold?\nWe just getting started; don't you tiptoe, tiptoe, ah"", ""Waste time with a masterpiece, don't waste time with a masterpiece\nYou should be rolling with me, you should be rolling with me, ah\nYou're a real-life fantasy, you're a real-life fantasy"", ""But you're moving so carefully; let's start living dangerously\nTalk to me, baby\nI'm going blind from this sweet sweet craving, whoa-oh\nLet's lose our minds and go fucking crazy\nI-I-I-I-I-I keep on hoping we'll eat cake by the ocean"", ""Walk for me, baby\nI'll be Diddy, you be Naomi - whoa oh"", ""Let's lose our minds and go fucking crazy\nI-I-I-I-I-I keep on hoping we'll eat cake by the ocean"", ""Hot damn\nSee you licking frosting from your own hands\nWant another taste, I'm begging, yes ma'am\nI'm tired of all this candy on the dry land, dry land, oh"", ""Waste time with a masterpiece, don't waste time with a masterpiece\nYou should be rolling with me, you should be rolling with me, ah\nYou're a real-life fantasy, you're a real-life fantasy\nBut you're moving so carefully; let's start living dangerously\nTalk to me, baby\nI'm going blind from this sweet sweet craving, whoa-oh\nLet's lose our minds and go fucking crazy\nI-I-I-I-I-I keep on hoping we'll eat cake by the ocean"", 'Walk for me, baby (walk for me now)', ""I'll be Diddy, you be Naomi - whoa oh\nLet's lose our minds and go fucking crazy"", ""I-I-I-I-I-I keep on hoping we'll eat cake by the ocean"", ""I-I-I-I-I-I keep on hoping we'll eat cake by the ocean"", ""I-I-I-I-I-I keep on hoping we'll eat cake by the ocean"", ""You're fucking delicious\nTalk to me, girl\nTalk to me, baby\nI'm going blind from this sweet sweet craving, whoa-oh\nLet's lose our minds and go fucking crazy\nI-I-I-I-I-I keep on hoping we'll eat cake by the ocean\nWalk for me, baby (walk for me now)\nI'll be Diddy, you be Naomi - whoa oh\nLet's lose our minds and go fucking crazy (that's right)\nI-I-I-I-I-I keep on hoping we'll eat cake by the ocean"", ""Red velvet, vanilla, chocolate in my life\nFunfetti, I'm ready; I need it every night\nRed velvet, vanilla, chocolate in my life\nI-I-I-I-I-I keep on hoping we'll eat cake by the ocean.""]",1
18,19,"me, myself & i",g-eazy and bebe rexha,2016,,
19,20,ride,twenty one pilots,2016,"[""I just wanna stay in the sun where I find\nI know it's hard sometimes\nPieces of peace in the sun's peace of mind\nI know it's hard sometimes.\nYeah, I think about the end just way too much\nBut it's fun to fantasize\nOn my enemies who wouldn't wish who I was\nBut it's fun to fantasize."", ""Oh, oh, oh, oh\nOh, oh, oh, oh.\nI'm fallin' so I'm taking my time on my ri-i-i-ide"", 'Oh, oh, oh, oh', 'I\'m fallin\' so I\'m taking my time on my ride\nTakin\' my time on my ride.\n""I\'d die for you"" that\'s easy to say\nWe have a list of people that we would take\nA bullet for them, a bullet for you\nA bullet for everybody in this room\nBut I don\'t seem to see many bullets coming through\nSee many bullets coming through\nMetaphorically, I\'m the man\nBut literally, I don\'t know what I\'d do\n""I\'d live for you"" and that\'s hard to do\nEven harder to say, when you know it\'s not true\nEven harder to write, when you know that\'s a lie\nThere were people back home who tried talking to you\nBut then you ignore them still\nAll these questions they\'re for real, like\n""Who would you live for?""\n""Who would you die for?""\nAnd ""Would you ever kill?""\nOh, oh, oh, oh', ""Oh, oh, oh, oh.\nI'm fallin' so I'm taking my time on my ri-i-i-ide"", 'Oh, oh, oh, oh', ""I'm fallin' so I'm taking my time on my ride\nTakin' my time on my ride.\nI've been thinking too much"", ""I've been thinking too much\nI've been thinking too much\nI've been thinking too much, (Help me.)\nI've been thinking too much, (I've been thinking too much)\nI've been thinking too much, (Help me.)\nI've been thinking too much, (I've been thinking too much)\nI've been thinking too much.\nOh, oh, oh, oh\nOh, oh, oh, oh.\nI'm fallin' so I'm taking my time on my ri-i-i-ide\nOh, oh, oh, oh\nI'm fallin' so I'm taking my time"", ""Takin' my time on my ri-ide.\nWhoa, oh, oh\nOh, oh, oh, oh\nOh, oh, oh, oh."", ""I'm fallin' so I'm taking my time on my ri-i-i-ide\nOh, oh, oh, oh\nI'm falling so I'm takin' my time on my...\nI've been thinking too much, (Help me.)\nI've been thinking too much, (Help me.)\nI've been thinking too much, (I've been thinking too much)\nI've been thinking too much, (Help me.)\nI've been thinking too much, (I've been thinking too much)\nI've been thinking too much, (Help me.)""]",1
20,21,heathens,twenty one pilots,2016,"[""All my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse\nAll my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", ""Welcome to the room of people\nWho have rooms of people that they loved one day\nDocked away\nJust because we check the guns at the door\nDoesn't mean our brains will change from hand grenades\nYou're lovin' on the psychopath sitting next to you\nYou're lovin' on the murderer sitting next to you\nYou'll think, how'd I get here, sitting next to you?\nBut after all I've said, please don't forget"", ""All my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", 'We don\'t deal with outsiders very well\nThey say newcomers have a certain smell\nYeah, I trust issues, not to mention\nThey say they can smell your intentions\nYou\'re lovin\' on the freakshow sitting next to you\nYou\'ll have some weird people sitting next to you\nYou\'ll think ""how did I get here, sitting next to you?""\nBut after all I\'ve said, please don\'t forget\n(Watch it, watch it)', ""(Watch it)\nAll my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", 'All my friends are heathens, take it slow\n(Watch it)\nWait for them to ask you who you know\n(Watch it)\nAll my friends are heathens, take it slow\n(Watch it)\nWait for them to ask you who you know', ""Why'd you come, you knew you should have stayed\nI tried to warn you just to stay away\nAnd now they're outside ready to bust\nIt looks like you might be one of us""]",1
21,22,pillowtalk,zayn,2016,"[""Climb on board\nWe'll go slow and high tempo\nLight and dark\nHold me hard and mellow"", ""I'm seeing the pain, seeing the pleasure\nNobody but you, 'body but me\n'Body but us, bodies together\nI love to hold you close, tonight and always\nI love to wake up next to you\nI love to hold you close, tonight and always\nI love to wake up next to you"", ""So we'll piss off the neighbours\nIn the place that feels the tears\nThe place to lose your fears\nYeah, reckless behavior\nA place that is so pure, so dirty and raw\nIn the bed all day, bed all day, bed all day\nFucking in and fighting on\nIt's our paradise and it's our war zone\nIt's our paradise and it's our war zone"", ""Pillow talk\nMy enemy, my ally\nPrisoners\nThen we're free, it's a thin line"", ""I'm seeing the pain, seeing the pleasure\nNobody but you, 'body but me\n'Body but us, bodies together\nI love to hold you close, tonight and always\nI love to wake up next to you"", ""So we'll piss off the neighbours\nIn the place that feels the tears\nThe place to lose your fears\nYeah, reckless behavior\nA place that is so pure, so dirty and raw\nIn the bed all day, bed all day, bed all day\nFucking and fighting on\nIt's our paradise and it's our war zone\nIt's our paradise and it's our war zone"", 'Paradise, paradise, paradise, paradise\nWar zone, war zone, war zone, war zone\nParadise, paradise, paradise, paradise\nWar zone, war zone, war zone, war zone', ""So we'll piss off the neighbours\nIn the place that feels the tears\nThe place to lose your fears\nYeah, reckless behavior\nA place that is so pure, so dirty and raw\nIn the bed all day, bed all day, bed all day\nFucking and fighting on\nIt's our paradise and it's our war zone\nIt's our paradise and it's our war zone""]",1
